Shots on Goal (home),Shots off Goal (home),Total Shots (home),Blocked Shots (home),Shots insidebox (home),Shots outsidebox (home),Fouls (home),Corner Kicks (home),Offsides (home),Ball Possession (home),Yellow Cards (home),Red Cards (home),Goalkeeper Saves (home),Total passes (home),Passes accurate (home),Passes % (home),Shots on Goal (away),Shots off Goal (away),Total Shots (away),Blocked Shots (away),Shots insidebox (away),Shots outsidebox (away),Fouls (away),Corner Kicks (away),Offsides (away),Ball Possession (away),Yellow Cards (away),Red Cards (away),Goalkeeper Saves (away),Total passes (away),Passes accurate (away),Passes % (away)
2,4,6,0,5,1,0,0,2,0.43,3,1,2,332,225,0.68,1,7,11,3,8,3,0,7,0,0.66,1,0,4,561,444,0.79
6,13,23,4,17,6,0,3,1,0.49,0,0,2,396,314,0.79,1,4,8,3,4,4,0,6,0,0.29,1,0,4,274,186,0.68
7,8,25,10,15,11,11,13,3,0.51,3,0,2,427,351,0.82,2,6,15,7,8,7,0,6,1,0.67,0,0,2,579,471,0.81
2,3,8,3,8,0,0,1,0,0.33,1,0,1,272,170,0.63,3,8,14,3,11,3,15,8,1,0.34,2,0,3,271,193,0.71
4,2,7,1,3,4,0,2,2,0.54,4,1,4,438,344,0.79,7,7,16,2,12,4,0,6,0,0.42,2,0,3,386,297,0.77
0,2,3,1,0,3,0,1,1,0.34,1,1,9,311,200,0.64,4,6,13,3,7,6,0,10,0,0.45,1,0,0,446,364,0.82
3,3,6,0,5,1,0,4,1,0.33,1,0,2,296,186,0.63,0,1,5,4,2,3,0,2,1,0.34,2,0,9,321,247,0.77
2,11,14,1,7,7,0,4,2,0.47,0,0,2,446,371,0.83,3,6,12,3,5,7,0,7,5,0.29,2,0,6,268,168,0.63
3,8,16,5,8,8,0,7,1,0.34,1,0,2,260,179,0.69,7,6,18,5,13,5,0,4,2,0.46,0,0,3,376,293,0.78
7,5,20,8,9,11,0,7,4,0.71,4,0,3,659,550,0.83,7,6,19,6,10,9,0,14,3,0.64,2,0,0,404,279,0.69
1,4,9,4,6,3,0,6,1,0.62,2,0,5,623,520,0.83,4,3,13,6,6,7,0,5,3,0.67,1,0,1,609,483,0.79
10,3,16,3,9,8,0,10,3,0.66,1,0,0,633,563,0.89,9,6,18,3,14,4,0,4,3,0.38,1,0,1,392,289,0.74
7,6,17,4,12,5,0,11,4,0.58,0,0,4,536,446,0.83,6,3,11,2,7,4,0,9,1,0.53,0,0,2,501,412,0.82
4,4,16,8,10,6,0,7,3,0.55,0,0,3,560,473,0.84,2,8,18,8,10,9,0,9,1,0.66,0,0,2,537,457,0.85
3,6,12,3,6,6,0,3,2,0.32,0,0,2,305,201,0.66,6,7,21,8,9,12,0,6,1,0.7,3,0,2,592,499,0.84
5,5,14,4,8,6,0,8,1,0.47,2,0,2,306,195,0.64,5,5,13,3,10,3,0,7,3,0.47,3,0,3,366,283,0.77
2,4,7,1,5,2,0,4,3,0.36,3,1,2,332,245,0.74,4,3,10,3,5,5,0,4,0,0.49,2,0,3,394,276,0.7
3,5,9,1,4,5,0,8,1,0.51,0,0,3,399,289,0.72,3,6,11,2,6,5,0,2,1,0.53,2,0,4,369,264,0.72
4,2,8,2,5,3,0,6,1,0.6,0,0,3,494,392,0.79,9,4,18,5,11,7,0,4,1,0.47,2,0,2,480,406,0.85
2,7,16,7,8,8,0,5,1,0.44,0,0,3,455,369,0.81,5,7,15,3,10,5,0,8,3,0.4,0,0,1,332,223,0.67
3,7,14,4,10,4,0,5,0,0.3,2,1,5,248,154,0.62,5,4,12,3,7,5,0,3,1,0.56,1,0,1,608,499,0.82
5,5,16,6,10,6,0,8,0,0.53,9,0,3,408,327,0.8,7,5,14,2,9,5,0,8,3,0.4,2,0,3,384,296,0.77
5,1,6,0,4,2,0,2,0,0.6,1,0,3,576,486,0.84,3,6,14,5,8,6,0,7,3,0.68,1,0,3,697,593,0.85
3,3,11,5,3,8,0,7,0,0.53,4,1,6,533,454,0.85,6,7,18,5,9,9,0,8,1,0.64,2,0,0,588,500,0.85
2,2,5,1,3,2,0,2,3,0.43,1,0,1,383,273,0.71,0,2,2,0,1,1,0,0,1,0.45,1,0,3,409,320,0.78
2,5,10,3,5,5,0,2,4,0.31,3,0,5,257,175,0.68,4,6,17,7,7,10,8,4,1,0.57,2,0,2,390,295,0.76
7,3,13,3,6,7,12,3,2,0.45,1,0,7,446,363,0.81,8,13,31,10,22,9,4,12,2,0.41,0,0,4,340,265,0.78
4,6,12,2,7,5,0,3,3,0.32,1,0,3,250,177,0.71,9,10,28,9,13,15,11,7,1,0.55,3,0,6,546,470,0.86
6,3,13,4,9,4,8,3,2,0.49,0,0,7,408,328,0.8,3,9,14,2,9,5,0,7,3,0.57,2,0,0,505,388,0.77
6,5,17,6,11,6,7,5,1,0.63,0,0,4,596,493,0.83,6,6,18,6,10,9,8,5,5,0.55,2,0,5,495,394,0.8
7,2,12,3,6,6,13,1,3,0.45,3,0,3,400,293,0.73,8,3,14,3,10,4,15,5,2,0.37,1,0,6,352,260,0.74
3,5,9,1,8,1,0,5,1,0.55,1,0,0,455,378,0.83,6,9,20,5,12,8,0,10,1,0.69,0,0,0,586,500,0.85
3,7,12,2,6,6,18,3,3,0.43,3,0,2,293,203,0.69,6,12,20,2,11,9,6,6,1,0.41,1,0,0,324,228,0.7
2,1,3,0,2,1,18,2,2,0.59,3,0,2,473,362,0.77,4,6,12,2,4,8,0,5,1,0.68,2,0,4,566,478,0.84
13,10,36,13,24,12,15,17,2,0.62,4,0,2,543,476,0.88,6,4,15,5,6,9,7,9,2,0.62,0,0,2,538,449,0.83
3,7,14,4,5,9,11,1,5,0.46,1,0,4,397,288,0.73,3,6,10,1,7,3,5,4,3,0.33,2,0,7,289,206,0.71
9,7,24,8,17,7,7,8,4,0.47,2,0,0,456,381,0.84,2,2,6,2,3,3,10,3,3,0.38,2,0,11,336,251,0.75
0,6,9,3,6,3,14,7,1,0.71,5,0,0,487,388,0.8,12,11,26,3,12,14,8,4,2,0.63,1,0,4,561,476,0.85
5,3,12,4,5,7,11,4,4,0.37,3,0,6,321,231,0.72,6,6,18,6,11,7,6,7,3,0.54,0,0,2,488,388,0.8
11,14,26,1,15,11,10,6,3,0.67,0,0,3,594,515,0.87,3,5,14,6,8,6,19,6,2,0.41,3,0,2,367,281,0.77
1,8,11,2,3,8,10,3,3,0.48,1,0,6,450,371,0.82,4,7,12,1,9,3,13,3,3,0.29,3,0,0,200,120,0.6
6,7,17,4,10,7,7,7,0,0.52,2,0,1,484,395,0.82,4,3,10,3,6,4,13,7,3,0.33,1,0,2,287,199,0.69
3,0,3,0,2,1,6,4,1,0.48,0,0,4,400,322,0.81,2,2,5,1,3,2,11,1,1,0.3,2,0,7,282,208,0.74
3,5,9,1,4,5,12,3,2,0.53,6,1,5,522,446,0.85,10,9,21,2,10,11,8,7,2,0.7,1,0,1,686,601,0.88
4,3,9,2,6,3,16,3,0,0.35,3,0,3,276,187,0.68,7,5,14,2,10,4,14,8,2,0.6,1,0,1,530,432,0.82
4,6,14,4,10,4,11,3,0,0.59,0,0,2,522,439,0.84,2,6,8,0,5,3,15,3,1,0.4,2,0,4,356,272,0.76
5,5,17,7,12,5,12,9,0,0.65,3,0,3,541,463,0.86,2,2,7,3,6,1,13,5,3,0.32,3,0,4,262,194,0.74
6,3,10,1,10,0,7,6,2,0.67,2,0,3,607,521,0.86,4,6,13,3,9,4,13,8,2,0.52,4,0,1,441,364,0.83
5,10,24,9,13,11,8,8,1,0.68,0,0,2,571,500,0.88,2,6,14,6,12,2,11,8,1,0.38,3,0,5,317,237,0.75
5,4,11,2,6,5,9,7,0,0.68,2,0,4,571,447,0.78,4,4,10,2,5,5,10,9,4,0.5,0,0,2,530,452,0.85
5,7,13,1,6,7,8,3,3,0.32,4,0,5,272,184,0.68,8,4,17,5,5,12,9,3,1,0.64,1,0,0,599,499,0.83
2,2,5,1,2,3,8,3,0,0.31,3,0,7,266,189,0.71,6,5,16,5,8,8,10,7,0,0.59,3,0,3,451,358,0.79
3,6,14,5,8,7,15,7,2,0.43,0,0,1,358,280,0.78,4,3,11,4,9,2,5,5,1,0.53,2,0,3,504,410,0.81
2,7,12,3,7,6,10,0,1,0.57,2,0,2,514,439,0.85,4,5,14,5,10,4,9,5,3,0.55,1,0,1,383,271,0.71
1,0,2,1,1,1,21,1,2,0.43,2,0,4,466,393,0.84,3,8,14,3,8,6,8,5,2,0.47,1,0,2,433,350,0.81
5,6,12,1,8,4,8,4,4,0.41,1,0,5,317,220,0.69,4,2,9,3,8,1,5,9,0,0.37,0,0,2,341,260,0.76
12,10,26,4,22,4,12,9,2,0.69,1,0,2,611,538,0.88,5,3,11,3,6,5,8,10,5,0.41,0,0,7,333,248,0.74
3,1,11,7,7,4,14,8,1,0.45,3,0,3,306,192,0.63,7,11,21,3,13,8,8,8,0,0.57,0,0,1,619,531,0.86
2,5,9,2,4,5,13,5,0,0.63,0,0,3,568,490,0.86,7,5,14,2,8,6,10,1,4,0.59,0,0,3,487,404,0.83
0,3,4,1,3,1,4,6,3,0.36,3,0,8,318,206,0.65,4,1,9,4,5,4,14,5,2,0.5,1,0,4,524,454,0.87
5,3,11,3,8,3,11,4,1,0.51,4,0,2,426,340,0.8,6,6,14,2,7,7,9,4,1,0.31,4,0,2,256,174,0.68
4,4,12,4,9,3,15,5,5,0.49,3,0,9,405,314,0.78,6,5,12,1,8,4,11,5,1,0.55,2,0,3,519,438,0.84
8,2,12,2,5,7,9,5,0,0.6,1,0,2,537,428,0.8,2,3,11,6,5,6,9,6,2,0.51,0,0,1,431,331,0.77
4,5,12,3,8,4,13,2,2,0.45,2,0,5,425,345,0.81,3,7,12,2,6,6,13,2,2,0.49,3,0,2,423,332,0.78
7,4,15,4,11,4,9,5,1,0.6,2,0,5,501,414,0.83,4,7,19,8,9,10,12,5,2,0.57,1,0,4,507,402,0.79
3,2,9,4,6,3,12,4,1,0.37,0,0,5,273,176,0.64,4,7,16,5,9,7,14,5,1,0.54,2,0,0,392,295,0.75
1,3,9,5,4,5,13,6,1,0.49,3,0,2,399,294,0.74,5,9,17,3,10,7,13,6,4,0.4,3,0,5,338,253,0.75
1,4,6,1,4,2,9,6,1,0.46,2,0,4,323,225,0.7,2,4,9,3,2,7,11,3,6,0.4,3,0,7,357,256,0.72
4,10,22,8,14,8,9,11,1,0.69,4,0,4,540,473,0.88,5,6,15,4,11,4,11,14,2,0.63,2,0,1,463,348,0.75
